City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description 
272,Balao,EC,-2.9167,-79.8167,77.77,73,100,5.82,overcast clouds
273,Lazaro Cardenas,MX,17.9583,-102.2,86.76,65,56,11.9,broken clouds
274,Maumere,ID,-8.6199,122.2111,77.34,82,62,6.46,broken clouds
275,Airai,TL,-8.9266,125.4092,56.05,94,76,3.91,broken clouds
276,Saskylakh,RU,71.9167,114.0833,50.13,74,100,7.85,overcast clouds
277,Port-De-Bouc,FR,43.4,4.9833,84.42,32,0,25.32,clear sky
278,Bulgan,MN,48.8125,103.5347,50.88,90,100,1.86,overcast clouds
279,Norman Wells,CA,65.282,-126.8329,80.64,41,75,12.66,smoke
280,Lompoc,US,34.6391,-120.4579,88.02,71,0,18.99,clear sky
281,Mersing,MY,2.4312,103.8405,76.91,88,40,4.61,scattered clouds
282,Selma,US,36.5708,-119.6121,95.63,33,0,5.75,clear sky
283,Severo-Kurilsk,RU,50.6789,156.125,56.89,87,100,12.24,overcast clouds
284,Quelimane,MZ,-17.8786,36.8883,69.75,83,0,4.61,clear sky
285,Poretskoye,RU,55.1974,46.3291,62.49,93,100,3.51,light rain
286,Bajil,YE,15.0584,43.2851,91.58,35,100,4.99,overcast clouds
287,San Carlos De Bariloche,AR,-41.1456,-71.3082,39.24,87,100,8.05,light rain
288,Birjand,IR,32.8663,59.2211,77.47,13,0,16.11,clear sky
289,Portland,US,45.5234,-122.6762,82.09,51,40,10.36,scattered clouds
290,Pandharpur,IN,17.6667,75.3333,72.84,85,100,14.03,overcast clouds
291,Vao,NC,-22.6667,167.4833,76.3,77,31,13.58,scattered clouds
292,Pavlovka,RU,52.6897,47.1405,65.93,70,22,4.32,few clouds
293,Yining,CN,29.0361,114.5636,78.31,93,4,2.28,clear sky
294,Kailua,US,21.4022,-157.7394,84.18,74,40,12.66,scattered clouds
295,Hay River,CA,60.8156,-115.7999,69.78,64,75,4.61,broken clouds
296,La Ronge,CA,55.1001,-105.2842,68.22,82,75,2.3,broken clouds
297,Baghdad,IQ,33.3406,44.4009,96.71,15,0,11.5,clear sky
298,Chapais,CA,49.7834,-74.8492,64.18,28,6,8.86,clear sky
299,Saldanha,ZA,-33.0117,17.9442,51.85,93,8,16.6,light rain
300,Yerbogachen,RU,61.2767,108.0108,52.41,76,7,3.06,clear sky
301,Port Hardy,CA,50.6996,-127.4199,59.18,88,100,6.91,light intensity shower rain
302,Basoko,CD,1.2391,23.616,75.34,71,99,1.99,overcast clouds
303,Jumla,NP,29.2747,82.1838,60.04,91,100,2.84,overcast clouds
304,Balkanabat,TM,39.5108,54.3671,85.89,21,0,9.24,clear sky
305,Iranshahr,IR,27.2025,60.6848,91.74,49,0,0.0,clear sky
306,Maningrida,AU,-12.0667,134.2667,56.88,90,100,11.54,overcast clouds
307,Zyryanovsk,KZ,49.7386,84.2719,53.38,88,99,0.83,overcast clouds
308,Haimen,CN,23.1935,116.6142,78.69,90,37,1.63,scattered clouds
309,Pingxiang,CN,27.6167,113.85,78.85,87,8,2.57,clear sky
310,Bethanien,NA,-26.502,17.1583,48.74,71,0,17.83,clear sky
311,Yambio,SS,4.5721,28.3955,67.26,97,98,2.55,light rain
312,Shelkovskaya,RU,43.5069,46.3392,73.17,57,9,14.83,clear sky
313,Mezhdurechensk,RU,53.6942,88.0603,54.05,90,9,2.86,clear sky
314,Dongfeng,CN,42.6403,125.5118,65.95,86,100,3.44,overcast clouds
315,Muli,MV,2.9167,73.5667,82.22,77,100,14.0,overcast clouds
316,Floro,NO,61.5996,5.0328,53.24,87,100,16.11,overcast clouds
317,Maceio,BR,-9.6658,-35.7353,72.84,94,100,11.5,overcast clouds
318,Goundam,ML,16.4145,-3.6708,99.68,22,100,12.86,overcast clouds
319,Angoche,MZ,-16.2325,39.9086,71.01,77,3,5.93,clear sky
320,Honningsvag,NO,70.9821,25.9704,55.15,76,100,2.3,overcast clouds
321,Pasighat,IN,28.0667,95.3333,78.1,91,56,2.98,broken clouds
322,Emerald,AU,-23.5333,148.1667,41.34,81,0,7.99,clear sky
323,Kintampo,GH,8.0563,-1.7306,71.83,92,100,7.67,light rain
324,Maarianhamina,AX,60.0973,19.9348,53.46,82,0,1.14,clear sky
325,Tiarei,PF,-17.5333,-149.3333,82.42,72,62,19.24,broken clouds
326,Tabou,CI,4.423,-7.3528,76.23,78,99,9.93,overcast clouds
327,Mehamn,NO,71.0357,27.8492,55.31,82,98,0.0,overcast clouds
328,Port Hedland,AU,-20.3167,118.5667,50.05,62,2,9.22,clear sky
329,Putina,PE,-15.4667,-69.4333,50.76,58,76,12.93,broken clouds
330,Amethi,IN,26.15,81.8167,90.77,54,100,11.3,overcast clouds
331,Nerchinskiy Zavod,RU,51.3088,119.61,51.75,94,99,4.74,overcast clouds
332,Wanaka,NZ,-44.7,169.15,31.1,81,99,1.99,overcast clouds
333,Belmonte,BR,-15.8631,-38.8828,72.57,78,13,9.75,few clouds
334,Bambous Virieux,MU,-20.3428,57.7575,68.25,73,40,18.41,scattered clouds
335,Amuntai,ID,-2.4177,115.2494,73.0,98,96,0.83,overcast clouds
336,Tilichiki,RU,60.4667,166.1,60.64,75,20,7.38,few clouds
337,Kijang,KR,35.2442,129.2139,76.73,85,41,4.52,scattered clouds
338,Bagan,RU,54.1001,77.6646,67.01,71,100,8.52,overcast clouds
339,Ugoofaaru,MV,5.6667,73.0,82.17,75,100,17.36,overcast clouds
340,Bahia Blanca,AR,-38.7196,-62.2724,52.03,63,3,2.86,clear sky
341,Boshnyakovo,RU,49.6333,142.1667,66.29,77,50,4.09,scattered clouds
342,Touros,BR,-5.1989,-35.4608,77.11,81,10,12.75,clear sky
343,Bilma,NE,18.6853,12.9164,94.05,18,13,7.43,few clouds
344,Mugur-Aksy,RU,50.35,90.5,50.77,75,100,1.92,light rain
345,Kisangani,CD,0.5167,25.2,78.66,42,43,2.51,scattered clouds
346,Constitucion,CL,-35.3333,-72.4167,52.45,86,70,13.42,broken clouds
347,Taraz,KZ,42.9,71.3667,63.01,51,0,6.71,clear sky
